transDe,randomVAE,sourceVAE,random,gradient_steps
514.8718898374588,434.7075867641717,577.2303022434935,418.11297580245883,1
449.602622200828,408.4231893970631,527.0176116604358,412.85845054043455,5
423.3386534260586,380.5263845534995,487.045802152995,424.60411906084045,10
352.73285574791953,353.657198287826,422.6889565595426,428.9471317938529,20
298.0851474026218,299.37208314659074,335.41059575183317,422.24454821757973,40
250.58870814880356,280.6807602760382,305.7333879066631,421.67263783570377,66
239.38012823946775,288.0938474103808,288.8449933988042,417.88704796368256,100
230.08310409234838,267.4938467799686,288.87289535077286,414.7200736804865,125
207.44927137196063,271.03327461043375,272.04230053909123,416.4357721821405,166
207.85980406906455,269.17488831635563,250.80653463769704,423.0008539592847,200
