transDe,randomVAE,sourceVAE,random,gradient_steps
378.28236818138976,396.5571916432003,558.5814786676434,387.7234502390609,1
389.46029773607154,396.3859410169069,521.2311205605162,384.930694385455,5
379.5615686640842,376.9209189423942,474.26865704901286,388.3558359978604,10
332.01195267005824,349.5902473631897,425.80688511339247,383.09200370720356,20
310.82319382614224,318.6477901404025,339.73982280826897,396.46822496680545,40
258.95720654318575,307.30939957720693,294.402629859955,381.3191761991358,66
251.31402846922865,282.398310737079,281.6563977593672,387.0660052677733,100
243.82442745058796,259.4769597940147,258.5314076853683,393.7368490190478,125
243.96505369755906,262.4719004081795,251.87970021775692,380.34787211811636,166
247.45329548411536,249.7460042309831,238.13611101155402,381.5051816672203,200
