transDe,randomVAE,sourceVAE,random,gradient_steps
544.5535470219329,556.5127981342375,644.0677949500271,566.3809345661663,1
504.35543737113477,555.2202907357365,577.9407228880561,565.7334870805032,5
471.32162368297577,567.1028686592356,528.4608738976531,559.4532952437178,10
459.7038167280145,551.0900199794211,469.38529295083134,579.306552827917,20
406.529162445385,513.2258904290386,441.12936215084045,559.7643789778464,40
410.05179924322294,448.0511429584585,387.768939025607,566.6354651803151,66
386.7076210263185,437.88670857558026,372.1156077768654,563.5129792368971,100
382.6004955779761,405.09671084107833,364.96139774071054,559.7110773367807,125
373.7436366884969,396.88816918535156,346.2004902008921,559.3865480583161,166
364.38594114175066,396.4189619119279,345.8059476777911,572.668520174548,200
