transDe,randomVAE,sourceVAE,random,gradient_steps
501.4957255223766,411.34228695593777,559.9094199094922,426.43045073598626,1
473.47380593996496,395.26670807842163,532.0654767718166,417.7975333290175,5
443.245963358134,406.2159033369273,493.68534428756686,413.26524358540775,10
391.96101465113463,400.82213739659636,420.4506520492956,422.1492310296744,20
335.76887774169444,367.4854943836108,374.11535446457566,407.87637428566813,40
301.71752089764925,314.3358976624906,302.5913872983307,413.8260508775711,66
284.31416198220103,312.0385466985405,296.59349549002945,417.3682512199506,100
278.2372253574431,291.271322729066,280.53787100054325,412.1010760942474,125
275.0811826977879,276.21489683911204,262.7206036023796,418.37935293558985,166
261.49405362978575,274.36032541543244,257.6378720846027,420.5832813616842,200
