transDe,randomVAE,sourceVAE,random,gradient_steps
427.26928979922087,377.68712644672485,534.0614016083069,384.15412533897904,1
391.45924823014064,360.2356297458522,495.8078139070887,384.4018308542203,5
327.54131484969986,336.7411136524286,434.92989441640674,387.497952797194,10
280.1581020095153,294.38902549957857,375.01521019788925,388.64159782612694,20
256.60831225430593,271.85924217824356,297.2158398080152,406.3535942520481,40
257.88155609597453,258.0308758363593,274.3948935958091,387.7719498850871,66
225.78984757671134,251.62213739224245,283.32958460375664,380.880957914493,100
219.55669373378623,262.69723524935546,266.10265047119464,390.36691592209974,125
232.849391027214,249.51124680454376,256.7640516213607,384.23676457444674,166
220.17584734756966,248.5928521130234,277.7845705064712,383.132227480202,200
