transDe,randomVAE,sourceVAE,random,gradient_steps
543.1166588901542,588.6991237995913,755.296952538006,580.1281169257593,1
477.96854543325026,582.2265005470254,704.4978056585184,581.5001527648186,5
426.55955736294857,565.2544642716414,667.7866950664436,579.21282497379,10
397.39433591465934,541.2149203698616,610.1974312545266,568.505539650796,20
402.4193309837021,514.0872318226378,547.5118454887997,596.4615689280675,40
364.10710091122894,487.0570097630145,507.7776373161934,571.4050778913777,66
371.6106817611726,432.7860204505734,417.4947676799726,585.4086402246263,100
333.80101031688974,398.4834462186089,384.649905046192,591.0348252312746,125
316.40075133419595,369.0991993486881,375.6645399724366,580.445639200136,166
323.0400328563061,377.24848416179884,353.3211463497486,575.4956811308163,200
